"time","wind_power","horizon"
2015-01-05 03:00:00,842,3
2015-01-05 06:00:00,652,6
2015-01-05 09:00:00,457,9
2015-01-05 12:00:00,308,12
2015-01-05 15:00:00,227,15
2015-01-05 18:00:00,203,18
2015-01-05 21:00:00,243,21
2015-01-06 00:00:00,428,24
2015-01-06 03:00:00,535,3
2015-01-06 06:00:00,630,6
2015-01-06 09:00:00,792,9
2015-01-06 12:00:00,913,12
2015-01-06 15:00:00,1126,15
2015-01-06 18:00:00,1304,18
2015-01-06 21:00:00,1442,21
2015-01-07 00:00:00,1583,24
2015-01-07 03:00:00,1469,3
2015-01-07 06:00:00,1178,6
2015-01-07 09:00:00,869,9
2015-01-07 12:00:00,645,12
2015-01-07 15:00:00,537,15
2015-01-07 18:00:00,612,18
2015-01-07 21:00:00,889,21
2015-01-08 00:00:00,1211,24
2015-01-08 03:00:00,1492,3
2015-01-08 06:00:00,1636,6
2015-01-08 09:00:00,1602,9
2015-01-08 12:00:00,1412,12
2015-01-08 15:00:00,1308,15
2015-01-08 18:00:00,1250,18
2015-01-08 21:00:00,1286,21
2015-01-09 00:00:00,1335,24
2015-01-09 03:00:00,1315,3
2015-01-09 06:00:00,1179,6
2015-01-09 09:00:00,821,9
2015-01-09 12:00:00,426,12
2015-01-09 15:00:00,301,15
2015-01-09 18:00:00,348,18
2015-01-09 21:00:00,433,21
2015-01-10 00:00:00,260,24
2015-01-10 03:00:00,216,3
2015-01-10 06:00:00,282,6
2015-01-10 09:00:00,627,9
2015-01-10 12:00:00,1160,12
2015-01-10 15:00:00,1534,15
2015-01-10 18:00:00,1577,18
2015-01-10 21:00:00,1530,21
2015-01-11 00:00:00,1606,24
2015-01-11 03:00:00,1686,3
2015-01-11 06:00:00,1649,6
2015-01-11 09:00:00,1499,9
2015-01-11 12:00:00,1015,12
2015-01-11 15:00:00,749,15
2015-01-11 18:00:00,714,18
2015-01-11 21:00:00,538,21
2015-01-12 00:00:00,338,24
2015-01-12 03:00:00,362,3
2015-01-12 06:00:00,547,6
2015-01-12 09:00:00,919,9
2015-01-12 12:00:00,1216,12
2015-01-12 15:00:00,1499,15
2015-01-12 18:00:00,1612,18
2015-01-12 21:00:00,1694,21
2015-01-13 00:00:00,1787,24
2015-01-13 03:00:00,1733,3
2015-01-13 06:00:00,1506,6
2015-01-13 09:00:00,1355,9
2015-01-13 12:00:00,1266,12
2015-01-13 15:00:00,1128,15
2015-01-13 18:00:00,1186,18
2015-01-13 21:00:00,1201,21
2015-01-14 00:00:00,1232,24
2015-01-14 03:00:00,1136,3
2015-01-14 06:00:00,1115,6
2015-01-14 09:00:00,1085,9
2015-01-14 12:00:00,1114,12
2015-01-14 15:00:00,1086,15
2015-01-14 18:00:00,1125,18
2015-01-14 21:00:00,1184,21
2015-01-15 00:00:00,1152,24
2015-01-15 03:00:00,1167,3
2015-01-15 06:00:00,1120,6
2015-01-15 09:00:00,1245,9
2015-01-15 12:00:00,1440,12
2015-01-15 15:00:00,1596,15
2015-01-15 18:00:00,1595,18
2015-01-15 21:00:00,1452,21
2015-01-16 00:00:00,1279,24
2015-01-16 03:00:00,1422,3
